ID,Zona,Año,Mes,Dia,Hora,Estacion,Longitud,Latitud,Profundidad_m,Transparencia_m,Profundidad_muestreo_m,Temperatura,Ph,Oxigeno_disuelto,Conductividad_electrica,PO4,NO2,NO3,Clorofila-A,SST
1,BAHIA PUNO,2011,JUL,14,12:15 p. m.,E01,-69.9614,-15.8521,16.0,7.0,0.5,12.68,8.37,7.67,1455.0,0.100,0.019,0.154,1.23,27.33
2,BAHIA PUNO,2011,JUL,14,11:26 a. m.,E02,-69.9271,-15.8461,2.4,,0.5,12.77,8.49,8.22,1460.0,0.041,0.018,0.140,1.06,6.00
3,BAHIA PUNO,2011,JUL,14,01:09 p. m.,E03,-69.9012,-15.8728,14.6,8.0,0.5,12.98,8.37,7.66,1456.0,0.082,0.004,0.097,1.02,20.33
4,BAHIA PUNO,2011,JUL,14,01:33 p. m.,E04,-69.8710,-15.8628,12.0,6.0,0.5,13.11,8.33,7.83,1430.0,0.027,0.005,0.147,3.67,16.33
5,BAHIA PUNO,2011,JUL,14,01:44 p. m.,E05,-69.8923,-15.8400,24.0,7.0,0.5,12.56,8.35,7.72,1456.0,0.059,0.025,0.160,1.64,23.33
6,BAHIA PUNO,2011,JUL,14,02:03 p. m.,E06,-69.9124,-15.8183,26.0,7.0,0.5,12.31,8.59,7.23,1437.0,0.068,0.010,0.051,2.23,12.33
7,BAHIA PUNO,2011,JUL,14,03:41 p. m.,E07,-69.8874,-15.7974,11.8,8.0,0.5,13.31,8.42,7.68,1485.0,0.073,0.013,0.050,1.54,10.67
8,BAHIA PUNO,2011,JUL,14,04:06 p. m.,E08,-69.8592,-15.8342,22.4,8.0,0.5,12.27,8.32,7.68,1452.0,0.068,0.012,0.090,1.06,6.67
9,BAHIA PUNO,2011,JUL,14,04:21 p. m.,E09,-69.8507,-15.8023,22.9,7.5,0.5,12.20,8.92,7.47,1451.0,0.073,0.013,0.140,0.48,10.33
10,BAHIA PUNO,2011,JUL,14,04:55 p. m.,E10,-69.8642,-15.7611,30.5,8.0,0.5,11.97,8.68,7.37,1448.0,0.023,0.002,0.132,0.48,14.00
11,BAHIA PUNO,2011,JUL,14,05:16 p. m.,E11,-69.8226,-15.7790,16.0,6.5,0.5,12.08,8.18,7.94,1448.0,0.041,0.010,0.080,1.33,15.67
12,BAHIA PUNO,2011,JUL,15,07:35 a. m.,E12,-69.7936,-15.7318,5.7,,0.5,11.31,8.78,7.35,1530.0,0.059,0.023,0.027,1.54,23.67
13,BAHIA PUNO,2011,JUL,15,08:12 a. m.,E13,-69.7869,-15.7932,50.0,8.5,0.5,12.44,8.51,6.90,1458.0,0.045,0.006,0.107,1.64,13.00
14,BAHIA PUNO,2011,JUL,15,08:59 a. m.,E14,-69.7400,-15.7740,49.5,9.0,0.5,12.33,8.28,6.83,1451.0,0.041,0.032,0.137,2.70,9.33
15,BAHIA PUNO,2011,JUL,15,11:46 a. m.,E15,-69.6709,-15.2941,129.0,14.0,0.5,12.88,8.04,6.18,1458.0,0.091,0.014,0.240,1.06,22.33
16,BAHIA PUNO,2011,JUL,15,01:18 p. m.,E16,-69.7208,-15.3384,75.6,11.0,0.5,13.04,8.05,6.42,1459.0,0.050,0.000,0.195,1.54,13.00
17,BAHIA PUNO,2011,JUL,15,02:12 p. m.,E17,-69.7822,-15.3928,18.6,8.0,0.5,13.03,8.08,6.92,1458.0,0.027,0.006,0.131,1.76,13.67
18,BAHIA PUNO,2011,JUL,15,03:02 p. m.,E18,-69.8423,-15.4461,117.0,8.5,0.5,12.91,8.26,6.72,1455.0,0.023,0.013,0.121,1.06,22.33
19,BAHIA PUNO,2011,JUL,16,06:17 a. m.,E19,-69.8391,-15.5435,120.8,9.0,0.5,12.58,8.20,6.55,1448.0,0.068,0.016,0.049,1.37,28.00
20,BAHIA PUNO,2011,JUL,16,09:08 a. m.,E20,-69.7731,-15.4873,232.0,12.0,0.5,12.55,8.06,6.33,1458.0,0.063,0.025,0.050,0.69,16.00
21,BAHIA PUNO,2011,JUL,16,11:33 a. m.,E21,-69.7105,-15.4339,117.0,12.0,0.5,12.72,8.03,6.30,1460.0,0.146,0.016,0.100,0.48,8.33
22,BAHIA PUNO,2011,JUL,16,03:55 p. m.,E22,-69.6380,-15.3722,88.3,10.0,0.5,12.76,8.07,6.43,1444.0,0.570,0.006,0.083,1.06,14.33
23,BAHIA PUNO,2011,JUL,17,05:44 a. m.,E23,-69.5367,-15.3845,194.1,10.0,0.5,12.46,8.14,6.14,1456.0,0.063,0.016,0.071,1.16,5.00
24,BAHIA PUNO,2011,JUL,17,06:39 a. m.,E24,-69.5966,-15.4374,264.1,9.0,0.5,12.48,8.21,6.47,1459.0,0.068,0.025,0.042,3.09,20.33
25,BAHIA PUNO,2011,JUL,17,07:31 a. m.,E25,-69.6611,-15.4944,257.0,12.5,0.5,12.49,8.21,6.06,1456.0,0.041,0.006,0.020,0.48,3.00
26,BAHIA PUNO,2011,JUL,17,09:35 a. m.,E26,-69.7309,-15.5560,214.0,12.0,0.5,12.63,8.12,6.48,1454.0,0.018,0.008,0.029,0.47,4.00
27,BAHIA PUNO,2011,JUL,17,10:40 a. m.,E27,-69.7935,-15.6112,223.0,11.0,0.5,12.70,8.19,6.47,1453.0,0.118,0.006,0.218,0.37,4.00
28,BAHIA PUNO,2011,JUL,17,01:53 p. m.,E28,-69.7385,-15.7104,258.0,12.0,0.5,13.22,7.98,6.22,1460.0,0.045,0.005,0.160,1.06,23.67
29,BAHIA PUNO,2011,JUL,17,03:56 p. m.,E29,-69.6802,-15.6612,172.8,10.0,0.5,12.93,8.08,6.75,1461.0,0.023,0.005,0.091,1.13,15.33
30,BAHIA PUNO,2011,JUL,18,07:11 a. m.,E30,-69.6217,-15.6119,68.0,8.5,0.5,12.42,8.38,6.79,1459.0,0.023,0.004,0.037,1.71,31.33
31,BAHIA PUNO,2011,JUL,19,05:26 a. m.,E31,-69.5639,-15.5632,61.8,8.0,0.5,12.49,8.60,6.82,1459.0,0.036,0.003,0.015,2.60,27.67
32,BAHIA PUNO,2011,JUL,19,06:56 a. m.,E32,-69.5159,-15.5235,134.8,11.5,0.5,12.51,8.10,6.26,1458.0,0.036,0.001,0.138,1.06,17.33
33,BAHIA PUNO,2011,JUL,19,07:54 a. m.,E33,-69.4621,-15.4783,183.0,11.0,0.5,12.50,8.10,6.51,1459.0,0.041,0.001,0.081,1.16,29.33
34,BAHIA PUNO,2011,JUL,19,08:52 a. m.,E34,-69.3601,-15.5373,241.7,11.0,0.5,12.54,8.06,6.43,1457.0,0.041,0.002,0.105,1.06,13.67
35,BAHIA PUNO,2011,JUL,19,11:07 a. m.,E35,-69.4411,-15.6036,269.0,12.0,0.5,12.80,8.04,6.37,1458.0,0.009,0.005,0.061,1.06,10.67
36,BAHIA PUNO,2011,JUL,19,12:32 p. m.,E36,-69.5219,-15.6698,197.0,10.5,0.5,12.91,8.06,6.57,1458.0,0.027,0.003,0.049,1.54,3.33
37,BAHIA PUNO,2011,JUL,19,01:46 p. m.,E37,-69.6035,-15.7366,8.2,7.0,0.5,13.00,8.10,6.89,1407.0,0.005,0.002,0.078,1.12,7.00
